Seuil,N_train,N_test,Modèle,Env,RMSE,R2,Bias
Full (352 pts),281,71,RF,Global,7.863,0.444,0.682
Full (352 pts),281,71,RF,Urban,8.749,0.079,0.447
Full (352 pts),281,71,RF,Suburban,5.748,0.2,1.143
Full (352 pts),281,71,XGBoost,Global,8.125,0.406,1.047
Full (352 pts),281,71,XGBoost,Urban,9.16,-0.01,0.955
Full (352 pts),281,71,XGBoost,Suburban,5.565,0.25,1.227
Z<2.5 (345 pts),276,69,RF,Global,6.249,0.615,0.304
Z<2.5 (345 pts),276,69,RF,Urban,7.172,0.231,0.231
Z<2.5 (345 pts),276,69,RF,Suburban,3.776,0.3,0.45
Z<2.5 (345 pts),276,69,XGBoost,Global,6.592,0.571,0.786
Z<2.5 (345 pts),276,69,XGBoost,Urban,7.639,0.127,0.772
Z<2.5 (345 pts),276,69,XGBoost,Suburban,3.697,0.329,0.813
Z<2.0 (333 pts),266,67,RF,Global,5.697,0.687,-1.16
Z<2.0 (333 pts),266,67,RF,Urban,6.483,0.497,-2.045
Z<2.0 (333 pts),266,67,RF,Suburban,3.763,0.305,0.534
Z<2.0 (333 pts),266,67,XGBoost,Global,5.189,0.74,-0.968
Z<2.0 (333 pts),266,67,XGBoost,Urban,5.848,0.591,-1.979
Z<2.0 (333 pts),266,67,XGBoost,Suburban,3.609,0.36,0.967
Z<1.8 (327 pts),261,66,RF,Global,4.691,0.775,0.546
Z<1.8 (327 pts),261,66,RF,Urban,5.129,0.598,0.576
Z<1.8 (327 pts),261,66,RF,Suburban,3.737,0.314,0.489
Z<1.8 (327 pts),261,66,XGBoost,Global,4.883,0.756,0.681
Z<1.8 (327 pts),261,66,XGBoost,Urban,5.42,0.551,0.582
Z<1.8 (327 pts),261,66,XGBoost,Suburban,3.675,0.337,0.867
Z<1.5 (304 pts),243,61,RF,Global,5.591,0.644,0.323
Z<1.5 (304 pts),243,61,RF,Urban,6.275,0.304,-0.69
Z<1.5 (304 pts),243,61,RF,Suburban,4.223,0.196,1.998
Z<1.5 (304 pts),243,61,XGBoost,Global,5.799,0.617,0.769
Z<1.5 (304 pts),243,61,XGBoost,Urban,6.447,0.265,-0.238
Z<1.5 (304 pts),243,61,XGBoost,Suburban,4.529,0.076,2.434
