pli,générateur,ratio,n_train_réel,n_train_synth,n_valid,synth_dans_valid,valid_non_réel
0,aucun,0,208,0,53,0,0
0,SMOTE-R,1,208,208,53,0,0
0,SMOTE-R,2,208,416,53,0,0
0,SMOTE-R,5,208,1040,53,0,0
0,CTGAN,1,208,208,53,0,0
0,CTGAN,2,208,416,53,0,0
0,CTGAN,5,208,1040,53,0,0
0,TVAE,1,208,208,53,0,0
0,TVAE,2,208,416,53,0,0
0,TVAE,5,208,1040,53,0,0
0,GEO-interp,1,208,208,53,0,0
0,GEO-interp,2,208,416,53,0,0
0,GEO-interp,5,208,1040,53,0,0
0,GEO-disp,1,208,208,53,0,0
0,GEO-disp,2,208,416,53,0,0
0,GEO-disp,5,208,1040,53,0,0
1,aucun,0,209,0,52,0,0
1,SMOTE-R,1,209,209,52,0,0
1,SMOTE-R,2,209,418,52,0,0
1,SMOTE-R,5,209,1045,52,0,0
1,CTGAN,1,209,209,52,0,0
1,CTGAN,2,209,418,52,0,0
1,CTGAN,5,209,1045,52,0,0
1,TVAE,1,209,209,52,0,0
1,TVAE,2,209,418,52,0,0
1,TVAE,5,209,1045,52,0,0
1,GEO-interp,1,209,209,52,0,0
1,GEO-interp,2,209,418,52,0,0
1,GEO-interp,5,209,1045,52,0,0
1,GEO-disp,1,209,209,52,0,0
1,GEO-disp,2,209,418,52,0,0
1,GEO-disp,5,209,1045,52,0,0
2,aucun,0,209,0,52,0,0
2,SMOTE-R,1,209,209,52,0,0
2,SMOTE-R,2,209,418,52,0,0
2,SMOTE-R,5,209,1045,52,0,0
2,CTGAN,1,209,209,52,0,0
2,CTGAN,2,209,418,52,0,0
2,CTGAN,5,209,1045,52,0,0
2,TVAE,1,209,209,52,0,0
2,TVAE,2,209,418,52,0,0
2,TVAE,5,209,1045,52,0,0
2,GEO-interp,1,209,209,52,0,0
2,GEO-interp,2,209,418,52,0,0
2,GEO-interp,5,209,1045,52,0,0
2,GEO-disp,1,209,209,52,0,0
2,GEO-disp,2,209,418,52,0,0
2,GEO-disp,5,209,1045,52,0,0
3,aucun,0,209,0,52,0,0
3,SMOTE-R,1,209,209,52,0,0
3,SMOTE-R,2,209,418,52,0,0
3,SMOTE-R,5,209,1045,52,0,0
3,CTGAN,1,209,209,52,0,0
3,CTGAN,2,209,418,52,0,0
3,CTGAN,5,209,1045,52,0,0
3,TVAE,1,209,209,52,0,0
3,TVAE,2,209,418,52,0,0
3,TVAE,5,209,1045,52,0,0
3,GEO-interp,1,209,209,52,0,0
3,GEO-interp,2,209,418,52,0,0
3,GEO-interp,5,209,1045,52,0,0
3,GEO-disp,1,209,209,52,0,0
3,GEO-disp,2,209,418,52,0,0
3,GEO-disp,5,209,1045,52,0,0
4,aucun,0,209,0,52,0,0
4,SMOTE-R,1,209,209,52,0,0
4,SMOTE-R,2,209,418,52,0,0
4,SMOTE-R,5,209,1045,52,0,0
4,CTGAN,1,209,209,52,0,0
4,CTGAN,2,209,418,52,0,0
4,CTGAN,5,209,1045,52,0,0
4,TVAE,1,209,209,52,0,0
4,TVAE,2,209,418,52,0,0
4,TVAE,5,209,1045,52,0,0
4,GEO-interp,1,209,209,52,0,0
4,GEO-interp,2,209,418,52,0,0
4,GEO-interp,5,209,1045,52,0,0
4,GEO-disp,1,209,209,52,0,0
4,GEO-disp,2,209,418,52,0,0
4,GEO-disp,5,209,1045,52,0,0
5,aucun,0,208,0,53,0,0
5,SMOTE-R,1,208,208,53,0,0
5,SMOTE-R,2,208,416,53,0,0
5,SMOTE-R,5,208,1040,53,0,0
5,CTGAN,1,208,208,53,0,0
5,CTGAN,2,208,416,53,0,0
5,CTGAN,5,208,1040,53,0,0
5,TVAE,1,208,208,53,0,0
5,TVAE,2,208,416,53,0,0
5,TVAE,5,208,1040,53,0,0
5,GEO-interp,1,208,208,53,0,0
5,GEO-interp,2,208,416,53,0,0
5,GEO-interp,5,208,1040,53,0,0
5,GEO-disp,1,208,208,53,0,0
5,GEO-disp,2,208,416,53,0,0
5,GEO-disp,5,208,1040,53,0,0
6,aucun,0,209,0,52,0,0
6,SMOTE-R,1,209,209,52,0,0
6,SMOTE-R,2,209,418,52,0,0
6,SMOTE-R,5,209,1045,52,0,0
6,CTGAN,1,209,209,52,0,0
6,CTGAN,2,209,418,52,0,0
6,CTGAN,5,209,1045,52,0,0
6,TVAE,1,209,209,52,0,0
6,TVAE,2,209,418,52,0,0
6,TVAE,5,209,1045,52,0,0
6,GEO-interp,1,209,209,52,0,0
6,GEO-interp,2,209,418,52,0,0
6,GEO-interp,5,209,1045,52,0,0
6,GEO-disp,1,209,209,52,0,0
6,GEO-disp,2,209,418,52,0,0
6,GEO-disp,5,209,1045,52,0,0
7,aucun,0,209,0,52,0,0
7,SMOTE-R,1,209,209,52,0,0
7,SMOTE-R,2,209,418,52,0,0
7,SMOTE-R,5,209,1045,52,0,0
7,CTGAN,1,209,209,52,0,0
7,CTGAN,2,209,418,52,0,0
7,CTGAN,5,209,1045,52,0,0
7,TVAE,1,209,209,52,0,0
7,TVAE,2,209,418,52,0,0
7,TVAE,5,209,1045,52,0,0
7,GEO-interp,1,209,209,52,0,0
7,GEO-interp,2,209,418,52,0,0
7,GEO-interp,5,209,1045,52,0,0
7,GEO-disp,1,209,209,52,0,0
7,GEO-disp,2,209,418,52,0,0
7,GEO-disp,5,209,1045,52,0,0
8,aucun,0,209,0,52,0,0
8,SMOTE-R,1,209,209,52,0,0
8,SMOTE-R,2,209,418,52,0,0
8,SMOTE-R,5,209,1045,52,0,0
8,CTGAN,1,209,209,52,0,0
8,CTGAN,2,209,418,52,0,0
8,CTGAN,5,209,1045,52,0,0
8,TVAE,1,209,209,52,0,0
8,TVAE,2,209,418,52,0,0
8,TVAE,5,209,1045,52,0,0
8,GEO-interp,1,209,209,52,0,0
8,GEO-interp,2,209,418,52,0,0
8,GEO-interp,5,209,1045,52,0,0
8,GEO-disp,1,209,209,52,0,0
8,GEO-disp,2,209,418,52,0,0
8,GEO-disp,5,209,1045,52,0,0
9,aucun,0,209,0,52,0,0
9,SMOTE-R,1,209,209,52,0,0
9,SMOTE-R,2,209,418,52,0,0
9,SMOTE-R,5,209,1045,52,0,0
9,CTGAN,1,209,209,52,0,0
9,CTGAN,2,209,418,52,0,0
9,CTGAN,5,209,1045,52,0,0
9,TVAE,1,209,209,52,0,0
9,TVAE,2,209,418,52,0,0
9,TVAE,5,209,1045,52,0,0
9,GEO-interp,1,209,209,52,0,0
9,GEO-interp,2,209,418,52,0,0
9,GEO-interp,5,209,1045,52,0,0
9,GEO-disp,1,209,209,52,0,0
9,GEO-disp,2,209,418,52,0,0
9,GEO-disp,5,209,1045,52,0,0
