générateur,famille,feature,moy_réel,moy_syn,ec_réel,ec_syn,ratio_écart_type,min_syn,max_syn,KS,KS_p
SMOTE-R,A — tabulaire sous contraintes,Distance,3380.532,3335.537,1472.899,1407.698,0.956,379.49,5880.229,0.046,0.946
SMOTE-R,A — tabulaire sous contraintes,Rx_height,117.368,117.326,140.163,140.081,0.999,10.554,329.371,0.038,0.991
SMOTE-R,A — tabulaire sous contraintes,Slope_Tx_Rx_50m,-0.003,-0.003,0.004,0.004,0.98,-0.015,0.004,0.023,1.0
SMOTE-R,A — tabulaire sous contraintes,Roughness_Tx_Rx_50m,4.209,4.25,4.822,4.841,1.004,0.335,14.302,0.046,0.946
SMOTE-R,A — tabulaire sous contraintes,Fresnel_buildings,0.096,0.103,0.556,0.561,1.01,0.0,5.0,0.004,1.0
SMOTE-R,A — tabulaire sous contraintes,Fresnel_trees,0.579,0.506,2.038,1.719,0.844,0.0,12.0,0.019,1.0
SMOTE-R,A — tabulaire sous contraintes,Buildings_near_Rx,1.391,1.31,1.764,1.619,0.918,0.0,8.0,0.042,0.975
SMOTE-R,A — tabulaire sous contraintes,Trees_near_Rx,4.751,4.582,4.472,4.173,0.933,0.0,16.0,0.057,0.783
SMOTE-R,A — tabulaire sous contraintes,E_field,73.741,73.639,10.309,9.944,0.965,53.554,90.3,0.054,0.848
CTGAN,A — tabulaire sous contraintes,Distance,3380.532,3230.696,1472.899,1510.154,1.025,162.484,6194.509,0.073,0.494
CTGAN,A — tabulaire sous contraintes,Rx_height,117.368,113.84,140.163,135.162,0.964,10.624,321.551,0.169,0.001
CTGAN,A — tabulaire sous contraintes,Slope_Tx_Rx_50m,-0.003,-0.001,0.004,0.004,0.929,-0.016,0.004,0.352,0.0
CTGAN,A — tabulaire sous contraintes,Roughness_Tx_Rx_50m,4.209,4.178,4.822,4.587,0.951,0.292,14.426,0.153,0.004
CTGAN,A — tabulaire sous contraintes,Fresnel_buildings,0.096,0.364,0.556,1.087,1.956,0.0,5.0,0.088,0.263
CTGAN,A — tabulaire sous contraintes,Fresnel_trees,0.579,1.475,2.038,3.17,1.556,0.0,12.0,0.142,0.01
CTGAN,A — tabulaire sous contraintes,Buildings_near_Rx,1.391,1.575,1.764,1.857,1.053,0.0,8.0,0.05,0.903
CTGAN,A — tabulaire sous contraintes,Trees_near_Rx,4.751,5.609,4.472,4.698,1.051,0.0,16.0,0.1,0.15
CTGAN,A — tabulaire sous contraintes,E_field,73.741,74.716,10.309,11.006,1.068,51.6,90.3,0.088,0.263
TVAE,A — tabulaire sous contraintes,Distance,3380.532,3172.59,1472.899,1463.381,0.994,310.888,6008.613,0.111,0.08
TVAE,A — tabulaire sous contraintes,Rx_height,117.368,117.022,140.163,139.859,0.998,11.035,331.701,0.069,0.565
TVAE,A — tabulaire sous contraintes,Slope_Tx_Rx_50m,-0.003,-0.003,0.004,0.004,0.88,-0.014,0.002,0.115,0.064
TVAE,A — tabulaire sous contraintes,Roughness_Tx_Rx_50m,4.209,4.325,4.822,4.907,1.018,0.156,14.426,0.061,0.712
TVAE,A — tabulaire sous contraintes,Fresnel_buildings,0.096,0.0,0.556,0.0,0.0,0.0,0.0,0.034,0.998
TVAE,A — tabulaire sous contraintes,Fresnel_trees,0.579,0.0,2.038,0.0,0.0,0.0,0.0,0.115,0.064
TVAE,A — tabulaire sous contraintes,Buildings_near_Rx,1.391,0.41,1.764,0.824,0.467,0.0,3.0,0.314,0.0
TVAE,A — tabulaire sous contraintes,Trees_near_Rx,4.751,2.556,4.472,3.178,0.711,0.0,10.0,0.23,0.0
TVAE,A — tabulaire sous contraintes,E_field,73.741,71.817,10.309,11.057,1.073,52.019,90.3,0.153,0.004
GEO-interp,B — position + recalcul,Distance,3380.532,3362.68,1472.899,1452.084,0.986,398.437,5897.955,0.05,0.903
