fold,générateur,ratio,N,model,RMSE
0,aucun,0,1,RF,6.797006363556912
0,aucun,0,1,XGBoost,7.171916737134336
0,aucun,0,1,CatBoost,6.637130208356159
0,aucun,0,1,LightGBM,6.667141563463447
0,aucun,0,2,RF,7.018734165584717
0,aucun,0,2,XGBoost,7.293587250404539
0,aucun,0,2,CatBoost,7.145588122637966
0,aucun,0,2,LightGBM,7.369375472903969
0,aucun,0,3,RF,5.743362308425814
0,aucun,0,3,XGBoost,6.81217290648349
0,aucun,0,3,CatBoost,5.782923917346402
0,aucun,0,3,LightGBM,5.456101880949254
0,aucun,0,4,RF,5.702814887837483
0,aucun,0,4,XGBoost,5.674114998223978
0,aucun,0,4,CatBoost,5.799951444422329
0,aucun,0,4,LightGBM,5.403570158042936
0,aucun,0,5,RF,5.385003418741865
0,aucun,0,5,XGBoost,5.38198080044452
0,aucun,0,5,CatBoost,5.2095608182346975
0,aucun,0,5,LightGBM,4.862264928998308
0,aucun,0,6,RF,5.315919620752314
0,aucun,0,6,XGBoost,5.369604744658998
0,aucun,0,6,CatBoost,5.268698783379328
0,aucun,0,6,LightGBM,4.862264928998308
0,aucun,0,7,RF,5.469424200749926
0,aucun,0,7,XGBoost,5.362885945084701
0,aucun,0,7,CatBoost,5.38950171013976
0,aucun,0,7,LightGBM,4.94812579067982
0,aucun,0,8,RF,5.335270961273753
0,aucun,0,8,XGBoost,5.275291411336814
0,aucun,0,8,CatBoost,5.203984584534901
0,aucun,0,8,LightGBM,5.124704885205002
0,aucun,0,9,RF,5.345697036445734
0,aucun,0,9,XGBoost,5.11424531949521
0,aucun,0,9,CatBoost,5.163857602684699
0,aucun,0,9,LightGBM,5.096196161732044
0,aucun,0,10,RF,5.314669237781211
0,aucun,0,10,XGBoost,5.2441020775217115
0,aucun,0,10,CatBoost,5.211868942077678
0,aucun,0,10,LightGBM,5.036397664592982
0,aucun,0,12,RF,5.381089896452906
0,aucun,0,12,XGBoost,5.241058546872043
0,aucun,0,12,CatBoost,5.2155425630151075
0,aucun,0,12,LightGBM,5.261965996110713
0,aucun,0,14,RF,5.779048632937317
0,aucun,0,14,XGBoost,5.238198639932531
0,aucun,0,14,CatBoost,5.392121769333988
0,aucun,0,14,LightGBM,5.311573366108907
0,aucun,0,17,RF,5.638431370851809
0,aucun,0,17,XGBoost,5.417947117131954
0,aucun,0,17,CatBoost,5.3026731111688585
0,aucun,0,17,LightGBM,5.311573366108907
0,aucun,0,19,RF,5.69172547597
0,aucun,0,19,XGBoost,5.268091570146226
0,aucun,0,19,CatBoost,5.278698145313245
0,aucun,0,19,LightGBM,5.311573366108907
0,SMOTE-R,1,1,RF,7.072837748625833
0,SMOTE-R,1,1,XGBoost,6.981479870471408
0,SMOTE-R,1,1,CatBoost,6.773736574611075
0,SMOTE-R,1,1,LightGBM,6.605376353303067
0,SMOTE-R,1,2,RF,7.177331879718714
0,SMOTE-R,1,2,XGBoost,7.174241151728703
0,SMOTE-R,1,2,CatBoost,6.9358362482920555
0,SMOTE-R,1,2,LightGBM,7.799140604475698
0,SMOTE-R,1,3,RF,5.659920509385771
0,SMOTE-R,1,3,XGBoost,6.82550480595493
0,SMOTE-R,1,3,CatBoost,5.707648353145412
0,SMOTE-R,1,3,LightGBM,5.607005085117651
0,SMOTE-R,1,4,RF,5.559814748839418
0,SMOTE-R,1,4,XGBoost,5.4765625431024505
0,SMOTE-R,1,4,CatBoost,5.5459002279228455
0,SMOTE-R,1,4,LightGBM,5.1142201556209725
0,SMOTE-R,1,5,RF,5.260120521266936
0,SMOTE-R,1,5,XGBoost,5.3344620343905005
0,SMOTE-R,1,5,CatBoost,5.165881253740477
0,SMOTE-R,1,5,LightGBM,5.146181967267819
0,SMOTE-R,1,6,RF,5.217022323424031
0,SMOTE-R,1,6,XGBoost,5.411597206673287
0,SMOTE-R,1,6,CatBoost,5.151664112010141
0,SMOTE-R,1,6,LightGBM,5.00298367856134
0,SMOTE-R,1,7,RF,5.274248819219267
0,SMOTE-R,1,7,XGBoost,5.240458129042139
0,SMOTE-R,1,7,CatBoost,5.03255208332342
0,SMOTE-R,1,7,LightGBM,4.733760530475497
0,SMOTE-R,1,8,RF,5.236193390427842
0,SMOTE-R,1,8,XGBoost,5.083487462496483
0,SMOTE-R,1,8,CatBoost,5.044014128034478
0,SMOTE-R,1,8,LightGBM,4.863504627304378
0,SMOTE-R,1,9,RF,5.262213439600549
0,SMOTE-R,1,9,XGBoost,5.029389361769947
0,SMOTE-R,1,9,CatBoost,4.870870142264861
0,SMOTE-R,1,9,LightGBM,4.8615551873803975
0,SMOTE-R,1,10,RF,5.25705390095081
0,SMOTE-R,1,10,XGBoost,5.1963777783178315
0,SMOTE-R,1,10,CatBoost,4.9607399204383835
0,SMOTE-R,1,10,LightGBM,4.9629161711921
0,SMOTE-R,1,12,RF,5.256644593518884
0,SMOTE-R,1,12,XGBoost,5.135533189157287
0,SMOTE-R,1,12,CatBoost,5.0358258430853775
0,SMOTE-R,1,12,LightGBM,4.958143772628373
0,SMOTE-R,1,14,RF,5.854342827689862
0,SMOTE-R,1,14,XGBoost,5.308189375202355
0,SMOTE-R,1,14,CatBoost,5.1942622462935
0,SMOTE-R,1,14,LightGBM,4.995275610053069
0,SMOTE-R,1,17,RF,5.886312665854629
0,SMOTE-R,1,17,XGBoost,5.392180426097449
0,SMOTE-R,1,17,CatBoost,5.129313410585834
0,SMOTE-R,1,17,LightGBM,5.072290289560975
0,SMOTE-R,1,19,RF,5.844930761719754
0,SMOTE-R,1,19,XGBoost,5.191028797067642
0,SMOTE-R,1,19,CatBoost,5.186567792280005
0,SMOTE-R,1,19,LightGBM,5.032510252375513
0,SMOTE-R,2,1,RF,7.313799183585633
0,SMOTE-R,2,1,XGBoost,7.120328416311295
0,SMOTE-R,2,1,CatBoost,6.990002877453179
0,SMOTE-R,2,1,LightGBM,7.076430675282078
0,SMOTE-R,2,2,RF,7.2542516314147685
0,SMOTE-R,2,2,XGBoost,7.498512503461672
0,SMOTE-R,2,2,CatBoost,6.997263505245221
0,SMOTE-R,2,2,LightGBM,7.974981976715313
0,SMOTE-R,2,3,RF,5.813391273338327
0,SMOTE-R,2,3,XGBoost,6.9335429938889055
0,SMOTE-R,2,3,CatBoost,5.989858695574915
0,SMOTE-R,2,3,LightGBM,5.472450838553275
0,SMOTE-R,2,4,RF,5.736746379634866
0,SMOTE-R,2,4,XGBoost,5.549035212994758
0,SMOTE-R,2,4,CatBoost,5.737702574730459
0,SMOTE-R,2,4,LightGBM,5.554717855085906
0,SMOTE-R,2,5,RF,5.44525361078866
0,SMOTE-R,2,5,XGBoost,5.36392836115953
0,SMOTE-R,2,5,CatBoost,5.187083408086524
0,SMOTE-R,2,5,LightGBM,5.397147379901671
0,SMOTE-R,2,6,RF,5.466521632595194
0,SMOTE-R,2,6,XGBoost,5.3391224647747775
