N_features,RMSE_RF,R2_RF,RMSE_XGBoost,R2_XGBoost,RMSE_CatBoost,R2_CatBoost,RMSE_LightGBM,R2_LightGBM
1,6.453,0.5748,5.9811,0.6347,6.2545,0.6005,6.0761,0.623
2,5.8842,0.6464,5.9495,0.6385,5.8762,0.6474,5.8347,0.6523
3,5.0561,0.7389,5.5176,0.6891,5.3095,0.7121,5.3522,0.7075
4,4.8599,0.7588,4.9257,0.7522,5.1991,0.724,5.0662,0.7379
5,4.6631,0.7779,4.8219,0.7626,4.8941,0.7554,4.884,0.7564
6,4.7022,0.7742,4.8283,0.7619,4.8197,0.7628,4.884,0.7564
7,4.7056,0.7739,4.9659,0.7482,4.775,0.7672,4.884,0.7564
8,4.6815,0.7762,4.7579,0.7688,4.8161,0.7631,4.884,0.7564
9,4.595,0.7844,4.7463,0.7699,4.8079,0.7639,4.7115,0.7733
10,4.5564,0.788,4.6036,0.7836,4.8291,0.7619,4.9394,0.7508
11,4.4866,0.7944,4.4169,0.8008,4.6725,0.777,5.2284,0.7208
12,4.5512,0.7885,4.4142,0.801,4.7934,0.7654,5.1422,0.73
13,4.5766,0.7861,4.3395,0.8077,4.7527,0.7693,5.0868,0.7358
14,4.5349,0.79,4.5393,0.7896,4.6354,0.7806,5.0868,0.7358
15,4.5773,0.786,4.4796,0.7951,4.643,0.7799,5.1915,0.7248
16,4.5746,0.7863,4.5118,0.7921,4.6754,0.7768,5.0876,0.7357
17,4.619,0.7821,4.5231,0.7911,4.8067,0.7641,5.2006,0.7238
18,4.6211,0.7819,4.5467,0.7889,4.7928,0.7654,5.2006,0.7238
19,4.5501,0.7886,4.4251,0.8,4.7669,0.7679,5.0811,0.7364
