N,A1_RF,A2_RF,A1_XGBoost,A2_XGBoost,A1_CatBoost,A2_CatBoost,A1_LightGBM,A2_LightGBM
1,6.2293812587079564,7.123560378161108,6.615574009248387,6.81361646767095,6.507297782713583,7.2494816878134065,5.8744229471197675,6.627917434327462
2,5.792924690366146,5.952344152448149,5.906266493267099,5.906434478274724,5.762041923117479,5.5973508833158885,5.65599170117267,5.616885879891713
3,5.190101348137262,5.232612775975238,5.124667039654954,5.555111720812054,5.276607224365716,5.206485546840289,5.255798535990645,5.3330893336013885
4,5.176818298513273,5.126152248016096,5.002307312824917,5.107952734135394,5.213781855451655,5.099702174824737,5.1325579869584725,5.0908843963846975
5,4.9299153113703165,4.775737893137394,5.04691936732168,5.05435645582936,4.749114485344344,4.738059886028442,4.926487041018836,4.962874888599097
6,4.823510548373371,4.827437162743511,4.995975451332229,5.0180779308218995,4.792556163550488,4.7410898157911925,4.926487041018836,4.962874888599097
7,4.8377162493086585,4.806080606476592,4.953390634327408,5.0648050758838075,4.586887403431218,4.666723857831534,4.749403714618879,4.867898769369676
8,4.874208397582537,4.741054011956924,4.948529977339402,4.934735102439336,4.832039925519091,4.810413854870936,4.9700265057463415,5.016984383035981
9,4.886937412310453,4.809835290203808,4.940618453116474,4.956943166963468,4.830923837998631,4.794049433075268,4.972544227000733,5.033970898533126
10,4.863763097943898,4.792591963210728,5.057882880905679,5.0120794358818745,4.821074875006733,4.824898558496577,5.0248971699547855,5.105046046263229
11,4.852914110387468,4.796773490650269,4.970130563981643,5.006966491765772,4.842380531701344,4.723724338786691,5.010082927620214,5.10804496749861
12,4.83930721736257,4.726913087833644,4.819040939976566,4.874795687553091,4.726685503700216,4.716045009257943,4.990716846868689,5.005595977558986
13,4.791160625131996,4.745171215954184,4.776758727011177,4.7977837639475425,4.79913393453622,4.719831814662153,4.952495655663387,4.939222611789668
14,4.804097762074571,4.677988754461322,4.76856020440795,4.809427944248144,4.7798097720018955,4.674223490178936,4.9968425323634085,4.950147937089655
15,4.773208253642623,4.749971335837034,4.695431198288948,4.69633061313002,4.7398797609004095,4.689104408294657,4.999660921027397,5.028575356344793
16,4.810060307251372,4.733681212335479,4.677974482525103,4.7003891074299124,4.7698979799146635,4.709910408936155,4.9766866883000835,4.911401735629771
17,4.808294762929323,4.636599343342831,4.689355893841276,4.559970350625051,4.683104778741838,4.661819917979201,4.9766866883000835,4.911401735629771
18,4.799737161647215,4.684553429172963,4.715053602853643,4.70322474011394,4.725413410817044,4.6668616104183736,4.980350086529341,4.899465670566791
19,4.79324630268062,4.668989383477915,4.731629721241405,4.742675688761538,4.6530066159290575,4.645236777635709,4.980350086529341,4.899465670566791
