Famille,Modèle,N,RMSE,MAE,R2,Bias,RMSE_Urbain,R2_Urbain,RMSE_Suburbain,R2_Suburbain
Uncalibrated empirical,ITU-R P.1546-6,—,13.639,11.732,-0.877,-8.872,12.762,-1.352,15.008,-10.06
Uncalibrated empirical,Hata standard,—,17.81,13.755,-2.201,13.541,21.747,-5.83,7.285,-1.606
Calibrated empirical,Hata L1a (global offset),1,11.569,9.73,-0.351,0.162,12.927,-1.413,8.801,-2.804
Calibrated empirical,Hata L1b (offset/env),2,9.932,7.803,0.005,-0.019,12.036,-1.092,4.503,0.005
Calibrated empirical,Hata L2 (OLS),7,6.998,5.368,0.506,-0.103,8.116,0.049,4.506,0.003
Pure ML,RF,5,4.776,4.018,0.77,0.417,5.313,0.592,3.689,0.332
Pure ML,XGBoost,5,5.109,4.024,0.737,0.551,5.774,0.518,3.717,0.321
Pure ML,CatBoost,5,4.83,4.018,0.765,0.584,5.394,0.58,3.679,0.335
Pure ML,LightGBM,5,4.875,4.025,0.76,0.302,5.477,0.567,3.634,0.352
Hybrid A1,A1-RF,3,5.19,4.267,0.728,0.299,5.922,0.494,3.626,0.354
Hybrid A2,A2-RF,3,5.233,4.343,0.724,0.188,5.906,0.496,3.828,0.28
Hybrid A1,A1-XGBoost,4,5.002,4.032,0.747,0.172,5.653,0.538,3.641,0.349
Hybrid A2,A2-XGBoost,5,5.054,4.048,0.742,0.556,5.654,0.538,3.828,0.28
Hybrid A1,A1-CatBoost,3,5.277,4.268,0.719,0.392,6.086,0.465,3.499,0.399
Hybrid A2,A2-CatBoost,5,4.738,3.993,0.773,0.481,5.296,0.595,3.598,0.364
Hybrid A1,A1-LightGBM,13,4.952,4.142,0.753,0.106,5.432,0.574,4.01,0.21
Hybrid A2,A2-LightGBM,7,4.868,3.956,0.761,-0.013,5.41,0.577,3.775,0.3
Trivial baseline,Global mean (Dev),0,9.956,8.858,-0.0,-0.131,9.806,-0.389,10.204,-4.113
Trivial baseline,Mean by city (Dev),0,7.19,5.74,0.478,-0.341,8.366,-0.011,4.545,-0.014
