N,RF_RMSE,RF_RMSEsd,XGBoost_RMSE,XGBoost_RMSEsd,CatBoost_RMSE,CatBoost_RMSEsd,LightGBM_RMSE,LightGBM_RMSEsd
1,6.9722,0.6271,6.8743,0.5267,6.6703,0.5263,7.0449,0.6529
2,6.2218,0.3769,6.6005,0.4851,6.2036,0.2524,6.8577,0.5448
3,5.7151,0.5382,6.0108,0.2194,5.5196,0.4062,5.934,0.4257
4,5.2342,0.4562,5.6099,0.4185,5.2507,0.3376,5.6345,0.5156
5,5.3698,0.3365,5.578,0.3587,5.3246,0.2433,5.5008,0.4723
6,5.2981,0.3266,5.3667,0.3809,5.1804,0.3263,5.3861,0.4616
7,5.32,0.3373,5.4414,0.3534,5.1591,0.3212,5.3692,0.4494
8,5.3034,0.3641,5.458,0.3571,5.1933,0.2951,5.4479,0.3996
9,5.302,0.3515,5.4237,0.399,5.2525,0.2974,5.4507,0.3817
10,5.3363,0.3502,5.4911,0.3633,5.2873,0.4127,5.5592,0.3737
11,5.3502,0.3439,5.4701,0.4418,5.2828,0.3992,5.5511,0.4184
12,5.337,0.3431,5.4782,0.3673,5.2491,0.3642,5.603,0.3558
13,5.3164,0.3258,5.4721,0.4046,5.2388,0.406,5.6077,0.3887
14,5.3564,0.3067,5.5296,0.3868,5.2332,0.4391,5.6175,0.371
15,5.3503,0.3751,5.4783,0.3951,5.2591,0.4246,5.6096,0.3514
16,5.3195,0.399,5.4635,0.3825,5.2322,0.4595,5.4731,0.4213
17,5.4057,0.3654,5.5002,0.3772,5.24,0.4219,5.5508,0.3371
18,5.3613,0.367,5.457,0.4374,5.2493,0.4707,5.571,0.3437
19,5.4421,0.3607,5.4545,0.4307,5.2761,0.4995,5.5265,0.3473
20,5.4119,0.3833,5.486,0.3893,5.304,0.4565,5.5405,0.3682
21,5.3979,0.3622,5.486,0.3786,5.3276,0.4524,5.5405,0.3682
22,5.4218,0.3757,5.4666,0.395,5.2722,0.4365,5.5405,0.3682
