N,RF_RMSE,RF_RMSEsd,XGBoost_RMSE,XGBoost_RMSEsd,CatBoost_RMSE,CatBoost_RMSEsd,LightGBM_RMSE,LightGBM_RMSEsd
1,6.53,0.7838,6.6852,0.995,6.6822,0.8239,6.9219,0.7979
2,6.3411,0.5784,6.5867,0.8701,6.372,0.6733,6.7546,0.6244
3,5.5479,0.3652,5.9468,0.5451,5.5843,0.3389,5.9188,0.4781
4,5.5568,0.3515,5.7483,0.5419,5.6748,0.2874,5.8266,0.4107
5,5.4786,0.3175,5.6971,0.5752,5.5814,0.1613,5.6303,0.2914
6,5.5285,0.2802,5.7171,0.5367,5.6059,0.3968,5.6093,0.3551
7,5.5538,0.2859,5.6901,0.5158,5.6272,0.3863,5.6146,0.3908
8,5.5799,0.3279,5.6886,0.5846,5.6045,0.3871,5.6895,0.3228
9,5.588,0.3281,5.6613,0.5506,5.5656,0.4016,5.465,0.3242
10,5.5758,0.3386,5.6282,0.5731,5.5437,0.3517,5.4778,0.329
11,5.5954,0.3381,5.6647,0.5446,5.5322,0.4082,5.4801,0.3255
12,5.584,0.3716,5.7189,0.5081,5.5683,0.4068,5.4801,0.3255
13,5.6046,0.319,5.7216,0.5596,5.5813,0.353,5.4719,0.2995
14,5.605,0.3457,5.7662,0.6155,5.6097,0.3914,5.4719,0.2995
