N,RF_RMSE,RF_RMSEsd,XGBoost_RMSE,XGBoost_RMSEsd,CatBoost_RMSE,CatBoost_RMSEsd,LightGBM_RMSE,LightGBM_RMSEsd
1,7.4981,0.7641,6.5973,0.3492,6.5467,0.4108,6.6644,0.3675
2,6.3985,0.3352,6.2945,0.2962,6.1669,0.2003,6.4219,0.3543
3,5.7739,0.4393,6.1464,0.211,5.7169,0.5047,5.9303,0.4414
4,5.4794,0.493,5.7513,0.386,5.3053,0.3102,5.5962,0.3857
5,5.5967,0.2797,5.5837,0.3361,5.4261,0.1919,5.719,0.3256
6,5.4378,0.2687,5.5094,0.4144,5.2258,0.3086,5.5446,0.3538
7,5.3889,0.2863,5.5009,0.4193,5.3146,0.3288,5.5759,0.362
8,5.4701,0.3451,5.5528,0.4031,5.3041,0.4662,5.6102,0.5208
9,5.4266,0.3046,5.5844,0.4265,5.3504,0.468,5.6526,0.5501
10,5.4298,0.2925,5.5606,0.416,5.322,0.4602,5.7182,0.4635
11,5.4226,0.2859,5.5971,0.449,5.317,0.4252,5.7286,0.4812
12,5.4478,0.3343,5.5261,0.4212,5.3528,0.5272,5.6282,0.5238
13,5.4316,0.3246,5.5721,0.4083,5.3432,0.4822,5.6624,0.5259
14,5.433,0.3712,5.5125,0.4181,5.3673,0.5211,5.6374,0.567
15,5.4911,0.3718,5.5606,0.4477,5.3607,0.5076,5.6436,0.5803
16,5.4708,0.3544,5.534,0.4287,5.3672,0.4949,5.6489,0.5229
17,5.4857,0.3461,5.5655,0.4512,5.3782,0.4989,5.6489,0.5229
18,5.4814,0.3603,5.5811,0.4073,5.377,0.4713,5.6489,0.5229
