Famille,Modèle,RMSE,RMSE_lo,RMSE_hi,MAE,MAE_lo,MAE_hi,R2,R2_lo,R2_hi,Bias,Bias_lo,Bias_hi
Hybrid A2,A2-CatBoost,4.7381,4.0187,5.4611,3.9935,3.3806,4.7028,0.7735,0.6608,0.8428,0.4807,-0.7473,1.6454
Pure ML,ML RF,4.7756,4.1054,5.4537,4.0185,3.4056,4.7125,0.7699,0.6634,0.835,0.4169,-0.7976,1.6181
Pure ML,ML CatBoost,4.8297,4.0987,5.5644,4.0175,3.373,4.7633,0.7646,0.6472,0.8364,0.5837,-0.6403,1.7674
Hybrid A2,A2-LightGBM,4.8679,4.1036,5.6581,3.9563,3.2816,4.6834,0.7609,0.6331,0.8391,-0.0126,-1.2093,1.2903
Pure ML,ML LightGBM,4.8754,4.135,5.5698,4.025,3.3954,4.7292,0.7601,0.6373,0.8339,0.3022,-0.9262,1.5689
Hybrid A1,A1-LightGBM,4.9525,4.2597,5.6184,4.1424,3.4827,4.8173,0.7525,0.6315,0.8273,0.1063,-1.172,1.3794
Hybrid A1,A1-XGBoost,5.0023,4.1167,5.9104,4.0318,3.3114,4.8234,0.7475,0.6123,0.8385,0.1715,-1.0989,1.4045
Hybrid A2,A2-XGBoost,5.0544,4.105,6.0047,4.0478,3.2967,4.8904,0.7422,0.5981,0.8376,0.5561,-0.7236,1.8136
Pure ML,ML XGBoost,5.1088,4.0876,6.1031,4.0242,3.2187,4.9006,0.7366,0.5878,0.838,0.5511,-0.7347,1.8382
Hybrid A1,A1-RF,5.1901,4.3237,6.1,4.2673,3.5391,5.0534,0.7282,0.5901,0.8174,0.2989,-1.0062,1.64
Hybrid A2,A2-RF,5.2326,4.3855,6.1225,4.343,3.6333,5.1452,0.7237,0.5849,0.8086,0.1877,-1.1187,1.5035
Hybrid A1,A1-CatBoost,5.2766,4.3033,6.223,4.2677,3.509,5.1219,0.719,0.5691,0.8199,0.3918,-0.9711,1.7625
Calibrated empirical,Hata L2 (OLS),6.9976,5.5826,8.465,5.3685,4.3237,6.5867,0.5059,0.256,0.6783,-0.1029,-1.8342,1.5484
Trivial baseline,Mean by city,7.1895,5.9083,8.5221,5.7399,4.698,6.8957,0.4784,0.2367,0.6437,-0.3412,-2.1631,1.3926
Calibrated empirical,Hata L1b,9.9321,8.1567,11.7076,7.8028,6.2692,9.5397,0.0046,-0.489,0.3395,-0.0193,-2.4396,2.5201
Trivial baseline,Global mean,9.9558,8.7917,10.9822,8.8576,7.6589,9.9742,-0.0002,-0.0861,-0.0,-0.1313,-2.604,2.2715
Calibrated empirical,Hata L1a,11.5693,9.765,13.4284,9.7298,8.1772,11.3927,-0.3506,-0.8679,0.0055,0.1619,-2.6056,3.1097
Uncalibrated empirical,ITU-R P.1546-6,13.6385,12.0454,15.1524,11.7317,10.065,13.5072,-0.877,-1.6609,-0.4102,-8.872,-11.3943,-6.2517
Uncalibrated empirical,Hata standard,17.8095,14.643,20.6996,13.7553,11.0466,16.6593,-2.2006,-3.5112,-1.3059,13.5409,10.7734,16.4888
