Group,Variable,Spearman |rho|,Mutual information,Delta RMSE (perm.)
Baseline,Distance,0.097,0.180,0.062
Baseline,Freq,0.752,0.430,0.120
Baseline,Rx_height,0.549,0.480,0.703
Baseline,Tx_height,0.759,0.451,0.209
Baseline,Tx_power,0.752,0.428,0.104
Terrain,Roughness_Tx_Rx_50m,0.654,0.526,0.723
Terrain,Slope_Tx_Rx_50m,0.723,0.514,0.752
Geometry,Azimut_Tx_Rx,0.070,0.243,0.591
Geometry,Tilt_Tx_Rx,0.032,0.204,0.025
Obstacles,Buildings_near_Rx,0.460,0.121,0.026
Obstacles,First_building_m,0.111,0.008,0.005
Obstacles,First_tree_m,0.133,0.030,0.003
Obstacles,Fresnel_buildings,0.113,0.007,0.000
Obstacles,Fresnel_trees,0.131,0.014,0.002
Obstacles,LOS,0.128,0.025,0.006
Obstacles,Trees_near_Rx,0.479,0.211,0.101
Weather,Rhum,0.521,0.216,0.237
Weather,Temp,0.061,0.189,0.026
Context,Environment,0.752,0.428,0.079
