Ref,Rx_lat,Rx_lon,Rx_power,E_field,FSM_spread,Temp,Rhum,Prcp,Wdir,Wpgt,Wspd,Pres,Session_date,Session_time,City,Tx_id,Tx_lat,Tx_lon,Distance,Tx_power,Tx_alt,Tx_antenna_height,Tx_height,Freq,Tx_id_2nd,Freq_2nd,tx_ratio,Rx_alt,Slope_Tx_Rx,Roughness_Tx_Rx,Slope_Tx_Rx_50m,Roughness_Tx_Rx_50m,Slope_Local_Rx_50m,Roughness_Local_Rx_50m,Rx_antenna_height,Rx_height,Azimut_Tx_Rx,Tilt_Tx_Rx,LOS,First_building_m,First_tree_m,Fresnel_buildings,Fresnel_trees,Buildings_near_Rx,Trees_near_Rx,Environment
cotonou_111,6.37272,2.34774,,77.0,0.0,29.0,43.0,0.0,20.0,,14.8,1011.0,2023-12-13,11:06:27,cotonou,ABCA,6.4302,2.3471,6356.997144711238,21238.37353,17.0,150.0,167.0,570.0,COTO,570.0,1.024753590727946,3.8865857124328618,-0.0017808475584354,3.5653857992954645,-0.0017914729949523,3.5490269955208595,-0.0019451795104979,0.0403347280639251,10,13.88658571243286,179.366018894587,1.3797483908996049,1,-1.0,-1.0,0,0,0,15,urban
cotonou_112,6.37114,2.35104,,61.5,0.7999999999999972,32.0,36.0,0.0,40.0,,13.0,1009.0,2023-12-13,12:54:44,cotonou,COTO,6.352268,2.402957,6111.417050448094,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,1.07108717947217,3.3025426864624023,-6.433188132646212e-05,1.3357692375752843,4.466841188551693e-06,1.3294027352375837,0.0050167933871021,0.0647576607736914,10,13.302542686462402,290.09314750765515,0.8971098338862423,0,5437.813968735378,5450.061297493791,5,9,3,8,urban
cotonou_113,6.36991,2.34688,,67.6,1.2000000000000028,33.0,36.0,0.0,150.0,,13.0,1008.0,2023-12-13,14:01:36,cotonou,COTO,6.352268,2.402957,6503.808790303928,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,1.0251530471620252,3.0624477863311768,-9.369311728925409e-05,1.3460694927658892,-9.56671060129569e-05,1.339956390236664,0.0011652416653103,0.0435926686032261,10,13.062447786331177,287.5683936956942,0.8451075948288962,0,-1.0,5682.686638421867,0,12,0,14,urban
cotonou_121,6.37635,2.34974,66.1,70.6,0.0,28.4,51.0,0.0,15.0,,14.8,1011.3,2023-12-14,10:27:17,cotonou,ABCA,6.4302,2.3471,5962.326097648317,21238.37353,17.0,150.0,167.0,570.0,COTO,570.0,1.0838249948886411,4.2510666847229,-0.0018361322444487,3.5615040104863076,-0.0018277615061644,3.543952499086818,-0.0006632486979166,0.0247556472844217,10,14.2510666847229,177.21065186683722,1.467540536683993,1,-1.0,-1.0,0,0,0,10,urban
cotonou_122,6.37262,2.34993,49.3,,,30.0,52.0,0.0,20.0,,13.0,1011.0,,,cotonou,COTO,6.352268,2.402957,6283.723957073057,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,1.0145820864234445,3.845336675643921,2.4433795911411476e-05,1.3126877158496013,3.465132893256426e-05,1.3083295511217683,0.000778442621231,0.04710889543924,10,13.84533667564392,291.11865321988796,0.8675657892524276,0,-1.0,5477.7954335206,0,6,0,6,urban
cotonou_123,6.37501,2.35304,64.1,68.5,0.4000000000000057,30.0,52.0,0.0,20.0,,13.0,1011.0,2023-12-14,11:10:31,cotonou,COTO,6.352268,2.402957,6068.414754814817,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,1.0115708117701612,3.6393001079559326,-1.1115160285937232e-05,1.3169374205662596,1.0254240784871564e-05,1.3143205115340422,0.0024881668811973,0.0771797294757734,10,13.639300107955933,294.6304742144279,0.9002871730148551,0,5265.778735139911,5253.617583326654,3,14,0,1,urban
cotonou_131,6.38035,2.35162,66.6,70.7,0.1000000000000085,32.0,41.0,0.0,10.0,,11.2,1010.0,2023-12-14,11:51:55,cotonou,ABCA,6.4302,2.3471,5535.448569676001,21238.37353,17.0,150.0,167.0,570.0,COTO,570.0,1.1694382150831404,3.0763769149780273,-0.0021460436912847,3.582676311900902,-0.0021258776625634,3.563571998468293,0.0047468185424804,0.2233187020112642,10,13.076376914978027,174.85095809711402,1.5928071319995891,0,5435.610819922325,-1.0,3,0,0,15,urban
cotonou_132,6.37683,2.35156,69.7,74.3,0.2000000000000028,30.0,52.0,0.0,20.0,,13.0,1011.0,2023-12-14,11:29:50,cotonou,ABCA,6.4302,2.3471,5922.674567843846,21238.37353,17.0,150.0,167.0,570.0,COTO,570.0,1.0640285868033583,4.146467685699463,-0.0018736759374913,3.494672576604185,-0.0018499816258748,3.4778525651018843,-0.0007400234540303,0.0358481251375051,10,14.146467685699465,175.2524492486773,1.4783724029978895,1,-1.0,-1.0,0,0,2,5,urban
cotonou_133,6.3793,2.3548,71.7,76.2,0.3000000000000113,32.0,41.0,0.0,10.0,,11.2,1010.0,2023-12-14,12:12:37,cotonou,ABCA,6.4302,2.3471,5693.025466371441,21238.37353,17.0,150.0,167.0,570.0,COTO,570.0,1.0731258499796266,2.828059196472168,-0.0021706100062341,3.379836810410666,-0.002141136676073,3.362350020573865,0.0008982261021931,0.0347091805367084,10,12.828059196472168,171.45015458962757,1.551238992157571,1,-1.0,-1.0,0,0,0,4,urban
cotonou_141,6.38382,2.35394,74.9,79.4,0.1000000000000085,31.3,40.0,0.0,44.0,,11.1,1009.1,2023-12-14,13:17:16,cotonou,ABCA,6.4302,2.3471,5184.594476088388,21238.37353,17.0,150.0,167.0,570.0,COTO,570.0,1.2438095170931327,2.132371187210083,-0.0025203092479522,3.52837658283288,-0.0024624913987659,3.5085012474890216,0.0016925017038981,0.0642277729137123,10,12.132371187210085,171.66191939453984,1.710958085505975,1,-1.0,-1.0,0,0,1,6,urban
