Ref,Temp,Rhum,Wdir,Wspd,Pres,Distance,Tx_power,Tx_height,Freq,Slope_Tx_Rx_50m,Roughness_Tx_Rx_50m,Rx_height,Azimut_Tx_Rx,Tilt_Tx_Rx,LOS,First_building_m,First_tree_m,Fresnel_buildings,Fresnel_trees,Buildings_near_Rx,Trees_near_Rx,Environment,E_field,Tx_antenna_height,Rx_antenna_height
cotonou_111,29.0,43.0,20.0,14.8,1011.0,6356.997144711238,21238.37353,167.0,570.0,-0.0017914729949523,3.5490269955208595,13.88658571243286,179.366018894587,1.3797483908996049,1,-1.0,-1.0,0,0,0,15,1,77.0,150.0,10
cotonou_112,32.0,36.0,40.0,13.0,1009.0,6111.417050448094,21238.37353,109.0,570.0,4.466841188551693e-06,1.3294027352375837,13.302542686462402,290.09314750765515,0.8971098338862423,0,5437.813968735378,5450.061297493791,5,9,3,8,1,61.5,100.0,10
cotonou_113,33.0,36.0,150.0,13.0,1008.0,6503.808790303928,21238.37353,109.0,570.0,-9.56671060129569e-05,1.339956390236664,13.062447786331177,287.5683936956942,0.8451075948288962,0,-1.0,5682.686638421867,0,12,0,14,1,67.6,100.0,10
cotonou_121,28.4,51.0,15.0,14.8,1011.3,5962.326097648317,21238.37353,167.0,570.0,-0.0018277615061644,3.543952499086818,14.2510666847229,177.21065186683722,1.467540536683993,1,-1.0,-1.0,0,0,0,10,1,70.6,150.0,10
cotonou_123,30.0,52.0,20.0,13.0,1011.0,6068.414754814817,21238.37353,109.0,570.0,1.0254240784871564e-05,1.3143205115340422,13.639300107955933,294.6304742144279,0.9002871730148551,0,5265.778735139911,5253.617583326654,3,14,0,1,1,68.5,100.0,10
cotonou_131,32.0,41.0,10.0,11.2,1010.0,5535.448569676001,21238.37353,167.0,570.0,-0.0021258776625634,3.563571998468293,13.076376914978027,174.85095809711402,1.5928071319995891,0,5435.610819922325,-1.0,3,0,0,15,1,70.7,150.0,10
cotonou_132,30.0,52.0,20.0,13.0,1011.0,5922.674567843846,21238.37353,167.0,570.0,-0.0018499816258748,3.4778525651018843,14.146467685699465,175.2524492486773,1.4783724029978895,1,-1.0,-1.0,0,0,2,5,1,74.3,150.0,10
cotonou_133,32.0,41.0,10.0,11.2,1010.0,5693.025466371441,21238.37353,167.0,570.0,-0.002141136676073,3.362350020573865,12.828059196472168,171.45015458962757,1.551238992157571,1,-1.0,-1.0,0,0,0,4,1,76.2,150.0,10
cotonou_141,31.3,40.0,44.0,11.1,1009.1,5184.594476088388,21238.37353,167.0,570.0,-0.0024624913987659,3.5085012474890216,12.132371187210085,171.66191939453984,1.710958085505975,1,-1.0,-1.0,0,0,1,6,1,79.4,150.0,10
cotonou_142,31.3,40.0,44.0,11.1,1009.1,5565.288449234078,21238.37353,167.0,570.0,-0.0021940751701382,3.3851429995116327,12.793106079101562,171.6186703922724,1.587185304662718,1,-1.0,-1.0,0,0,0,1,1,73.3,150.0,10
cotonou_143,31.3,40.0,44.0,11.1,1009.1,5228.484713079486,21238.37353,167.0,570.0,-0.0024118516481283,3.423643880237224,12.458997011184692,167.98560268896222,1.6930278059520625,1,-1.0,-1.0,0,0,0,15,1,81.1,150.0,10
cotonou_152,34.0,36.0,130.0,9.4,1008.0,5026.761322067294,21238.37353,167.0,570.0,-0.0024334088961283,3.524691842044404,12.43277359008789,169.33848702526814,1.7612254946144126,1,-1.0,-1.0,0,0,0,14,1,72.4,150.0,10
